galex_id,ra,dec,min_cnt,max_cnt,ave_cnt,lc_filename
3153823897452810796,287.881465364,43.375152735,0.0,21.0,9.14545454545,
3153823897452816931,288.100762396,43.931542623,0.0,31.0,16.5714285714,
2567018939755267234,284.253955508,44.1534987158,0.0,49.0,25.3317865429,
2567018939755267494,284.376303621,44.2003747709,0.0,26.0,11.2252747253,
2567018939755268571,283.912109425,44.3624455983,1.0,26.0,12.6162162162,
2567018939755268668,283.922054043,44.3845751299,1.0,28.0,16.1918918919,
2567018939755268399,283.927884472,44.3475508673,0.0,41.0,15.3486486486,
2567018939755268653,283.956895512,44.3871424865,0.0,32.0,17.1567567568,
2567018939755268190,283.956450104,44.314677312,0.0,24.0,10.6459459459,
2567018939755268265,283.971855066,44.3305260727,0.0,27.0,9.35675675676,
2567018939755268707,283.993058485,44.3995527928,0.0,19.0,8.02702702703,
2567018939755268649,284.0247453,44.3866238503,0.0,21.0,10.9159891599,
2567018939755268623,284.029019762,44.3752107192,2.0,62.0,31.7162162162,
2567018939755268611,284.08838588,44.3631555587,0.0,29.0,16.7621621622,
2567018939755268385,284.095492858,44.3288813653,11.0,174.0,122.656756757,2567018939755268385_LC.csv
2567018939755268146,284.215729114,44.3143309274,0.0,22.0,7.75675675676,
2567018939755268569,284.229632511,44.3755152198,0.0,19.0,9.49322493225,
2567018939755268549,284.235132409,44.3735888747,0.0,17.0,8.08672086721,
2567018939755268106,284.245031249,44.3054578316,0.0,22.0,8.53804347826,
2567018939755268613,284.251462869,44.3851997968,0.0,18.0,7.42972972973,
2567018939755268216,284.258289981,44.3033041704,8.0,150.0,98.6918918919,2567018939755268216_LC.csv
2567018939755268322,284.294321025,44.3358079873,0.0,19.0,9.77837837838,
2567018939755268870,284.302053228,44.3935567116,0.0,286.0,200.645945946,2567018939755268870_LC.csv
2567018939755268735,284.325276714,44.3997329037,0.0,29.0,11.1135135135,
2567018939755268536,284.326755781,44.3590141704,0.0,19.0,9.73513513514,
2567018939755268406,284.34466294,44.3523851464,0.0,19.0,8.25543478261,
2567018939755268386,284.353348919,44.3433722944,1.0,43.0,26.5891891892,
2567018939755268366,284.356454147,44.3299241814,3.0,66.0,42.2378378378,
2567018939755268143,284.358535042,44.3077080359,0.0,23.0,10.4932249322,
2567018939755268627,284.371302037,44.3843477939,0.0,22.0,9.86756756757,
2567018939755268154,284.382643767,44.3079922834,0.0,25.0,13.3675675676,
2567018939755268521,284.384726752,44.3554658912,0.0,68.0,41.4675675676,
2567018939755268204,284.458922252,44.3199603274,0.0,19.0,8.69459459459,
2567018939755268436,284.460737799,44.3551955076,0.0,22.0,10.5190217391,
2567018939755268509,284.476065732,44.3639967525,0.0,29.0,14.8157181572,
2567018939755268267,284.477265015,44.3219187535,0.0,39.0,16.5799457995,
2567018939755268790,284.482816891,44.3977916882,2.0,54.0,33.4864864865,
2567018939755268717,284.498398049,44.3455650021,33.0,373.0,274.957597173,2567018939755268717_LC.csv
2567018939755268214,284.516707636,44.3174357752,0.0,24.0,10.5203488372,
2567018939755268431,284.54089261,44.3371792527,4.0,102.0,62.4504249292,
2567018939755268565,284.565049275,44.3710361426,1.0,21.0,10.5197740113,
2567018939755269030,284.56623251,44.3869655311,102.0,2908.0,1777.63098592,2567018939755269030_LC.csv
2567018939755268288,284.582741701,44.3268231999,0.0,24.0,12.2782874618,
2567018939755268582,284.624213469,44.3761600211,0.0,22.0,9.0,
2567018939755268481,284.654770152,44.3573565663,0.0,20.0,9.53770491803,
2567018939755268579,284.657573829,44.3674113002,0.0,26.0,14.5646687697,
2567018939755269397,283.835042735,44.4661428635,17.0,288.0,207.051351351,2567018939755269397_LC.csv
2567018939755269204,283.853466352,44.4587706819,0.0,39.0,20.6395663957,
