Kepler ID, Distance (cm)
3647476,2.18944059503e+22
3647505,1.32772012194e+21
3647529,3.66840216188e+21
3647596,9.2660448082e+21
3647629,3.46018671897e+21
3647657,3.01032921639e+21
3647668,2.24792562741e+22
3647671,3.03902697847e+22
3647684,2.84379416756e+21
3647762,9.47534097213e+21
3647773,1.8282512294e+21
3647781,2.74869424408e+21
3647782,2.79045303754e+21
3647799,8.72876622044e+21
3647803,1.58445871665e+22
3647812,2.13753659798e+21
3647824,5.76716627389e+21
3647870,2.46561941363e+21
3647903,3.31158291281e+22
3647918,4.50631780263e+21
3647944,2.06759059131e+21
3647967,5.93918273266e+21
3744586,1.76050669058e+21
3744614,1.82793714193e+22
3744628,1.9341013e+22
3744635,1.71640036245e+22
3744681,1.73621101479e+21
3744693,3.12414313975e+21
3744770,2.06048819675e+21
3744781,1.05137757138e+22
3744782,3.8132957295e+21
3744905,3.3421028639e+21
3744943,2.86116395382e+21
3744954,6.13733364138e+22
3745082,1.73195308619e+21
3745085,2.99846893411e+21
3745104,8.14958505763e+21
3745112,6.10200094238e+21
3745153,1.3770206325e+22
3745159,
3745184,2.7830610539e+21
3745208,2.87934208099e+21
3745244,2.64506849905e+21
3745278,3.70998577546e+21
3745299,1.25705508968e+22
3745330,2.54529297541e+21
3745334,5.0246312564e+21
3745398,
3745416,6.889618386e+21
3745444,2.46564271342e+21
3745462,1.02443016228e+22
3745512,9.69374895344e+21
3745516,1.67979963064e+21
3745559,2.45929266245e+21
3745566,
3745651,1.03511764224e+22
3745663,8.58143128956e+21
3745674,2.05919767638e+21
3745680,1.4556072768e+22
3745690,1.86032980486e+21
3745702,1.1419280203e+22
3745718,2.96749693351e+21
3745772,5.88593178107e+21
3745781,1.34696931881e+22
3745794,3.197152194e+21
3745836,9.91725757436e+21
3745854,2.99889853742e+21
3745870,3.47506273513e+21
3745893,3.33519014833e+21
3745913,1.30049145498e+22
3745929,1.01947996794e+22
3746005,9.57725173601e+21
3746010,5.87042143125e+21
3746043,2.19093132962e+21
3746049,1.3247211546e+22
3746105,1.21412995382e+22
3746109,1.24877700307e+22
3746125,6.10040290383e+21
3746132,9.14021806568e+21
3746157,1.25956793445e+21
3746181,1.50079172335e+22
3746217,8.50610161855e+21
3746248,1.72236949866e+21
3746260,2.98997978826e+21
3746284,1.01579766222e+22
3746315,2.08313255907e+21
3746344,2.36183348818e+21
3746345,2.9366292601e+21
3746401,
3746406,2.54197592042e+21
3746445,2.53661176808e+21
3746501,2.84826820807e+21
3746658,1.42551708416e+22
3746682,9.50784935881e+21
3746809,1.05560451686e+22
3746864,3.69198793195e+21
3746928,
3746949,3.25140509517e+21
3746960,1.23076615314e+21
3746994,2.44147947602e+22
3747016,6.9887458365e+21
3747025,4.70069916239e+21
3747033,5.60041062353e+21
3747037,1.50436854202e+22
3747190,9.31864421341e+21
3747208,1.20082641799e+21
3747220,7.71419395367e+20
3747262,
3747297,3.39971327218e+21
3747373,3.37560858478e+22
3747420,
3747474,2.93838113641e+21
3747536,2.9755369608e+21
3747571,3.34570992237e+21
3747593,3.61517706083e+21
3747610,3.375680162e+21
3747617,4.87763308106e+21
3747623,3.73680075721e+22
3747639,4.08371250019e+21
3747641,7.74516293819e+21
3747662,3.25503545845e+21
3747699,6.87143999473e+21
3747726,6.24069647333e+21
3747744,1.15400805007e+22
3747777,5.22015681498e+22
3747802,9.6463216491e+21
3747810,6.3209653146e+21
3747817,1.80493094132e+21
3747824,1.82012156737e+22
3747837,2.6729769997e+22
3747849,6.92802168406e+21
3747858,5.56378763694e+21
3747860,1.33131573597e+23
3747884,1.33757474161e+21
3747889,
3747932,8.62951105583e+21
3747964,2.12480335731e+22
3747965,3.5782409289e+21
3747974,7.48023148591e+21
3747976,9.70808037315e+21
3747996,1.7370987836e+22
3748115,3.51670349667e+21
3748172,1.04606215789e+21
3748197,2.59656181469e+21
3748201,3.40808142525e+21
3748239,7.48657152852e+22
3748250,3.37086226826e+21
3748251,3.61087277367e+21
3748314,2.98124979855e+21
3748338,3.63473695694e+21
3748386,6.69107228168e+21
3748392,1.0651370862e+21
3748408,
3748423,2.56419541009e+21
3748474,3.71084522059e+21
3748487,3.43956158542e+22
3748509,9.26839297217e+21
3748532,3.61970408383e+21
3748535,1.24518959584e+21
3748555,2.49819978785e+21
3748585,3.80174240978e+23
3748592,2.45152210379e+21
3748664,1.25940802272e+21
3748681,3.12271497443e+21
3748691,6.16573522408e+21
3748717,1.89697526293e+21
3748748,2.00554235219e+21
3748776,7.28055768217e+21
3748800,2.58512946999e+21
3748824,
3748844,2.9401692692e+21
3748855,2.01166336945e+22
3748913,9.0295699558e+22
3748941,8.6719613219e+22
3748949,3.04070886708e+22
3748978,3.47294488786e+21
3748982,2.19485882037e+22
3748984,3.9025352216e+21
3749041,2.24856982917e+21
3749100,3.60575836319e+21
3749134,2.94514658283e+21
3749164,2.30490983803e+22
3749177,2.22406225212e+22
3749234,
3847938,
3847942,1.15982316097e+22
3847951,1.15289604636e+22
3848040,5.58501080871e+21
3848042,1.19886453397e+22
3848056,7.19189212243e+21
3848106,1.34004240303e+22
3848121,1.36021909255e+22
3848164,6.91821831379e+21
3848187,2.24289200022e+22
3848243,9.70445673063e+21
3848252,2.50835370549e+21
3848294,2.13511919507e+21
3848305,1.60082317853e+22
3848314,1.62627318057e+22
3848327,1.19995169264e+22
3848385,8.22356692089e+22
3848414,4.77313858513e+21
3848645,2.93173922614e+21
3848689,3.83406377671e+21
3848713,3.04784812303e+21
3848736,2.55260620574e+21
3848739,9.9646508491e+21
3848775,2.13673315041e+21
3848779,3.7732325399e+21
3848791,5.45114394524e+21
3848795,2.39086147293e+21
3848826,1.45678875419e+21
3848883,2.82249832526e+21
3848903,1.43126051955e+22
3848926,2.9432599842e+21
3848939,6.4846221423e+21
3848948,7.22332468833e+22
3848966,1.80635068671e+22
3848975,9.48719064657e+21
3848985,1.11332169187e+22
3849014,1.91107092147e+21
3849027,1.5674351265e+22
3849048,2.26148957181e+22
3849059,2.83056403213e+21
3849073,3.6412238762e+21
3849091,3.50573390457e+21
3849110,4.05684813866e+21
3849135,8.15310713257e+21
3849155,7.38993846555e+21
3849187,2.19378746091e+21
3849211,2.92061377516e+22
3849218,2.05494843845e+21
3849231,3.64223931335e+21
3849249,6.84087668301e+21
3849273,
3849302,2.35050640551e+21
3849318,2.60423708772e+21
3849354,4.80572110453e+22
3849414,2.37635098423e+21
3849478,3.54929024462e+21
3849486,6.30909239666e+21
3849527,3.30097125726e+22
3849544,2.04310669937e+21
3849576,2.14975265607e+21
3849705,6.31649393074e+21
3849735,3.67234243012e+21
3849781,2.34360622194e+22
3849795,6.29390322261e+21
3849866,2.69272710303e+21
3849876,8.07997130555e+21
3849879,2.89128277389e+22
3849943,7.4909933963e+21
3849996,4.43792835429e+21
3850041,1.51677757112e+21
3850060,
3850086,4.35957952427e+22
3850108,
3850212,2.29511349564e+21
3850233,7.95247383562e+21
3850260,8.96070150034e+21
3850276,1.51162793267e+21
3850331,9.50240232957e+21
3850368,1.17893610529e+22
3850385,3.15708386437e+21
3850386,2.81361231183e+21
3850458,2.02217104628e+21
3850464,5.67855648853e+21
3850479,2.77439873957e+22
3850550,1.14259649112e+22
3850551,2.51300846799e+21
3850559,5.15008393164e+21
3850563,3.02901089326e+21
3850572,9.02585715478e+21
3850609,2.91621547519e+22
3850610,1.83504787811e+22
3850643,3.8014176079e+21
3850645,2.93739655571e+21
3850692,6.18707556614e+21
3850744,2.42748296439e+22
3850780,2.58764004242e+22
3850787,2.53018680429e+22
3850808,3.47836735028e+21
3850810,
3850886,8.23776692664e+22
3850933,1.54440183078e+22
3850972,3.29172799056e+21
3851022,2.07533552686e+21
3851024,7.8959541624e+20
3851052,7.66585062852e+21
3851054,2.51298965617e+21
3851114,6.75755456962e+20
3851134,2.11798164759e+22
3851151,4.47484167696e+22
3851154,3.19599166478e+21
3851170,9.22862330886e+21
3851182,3.89611922277e+21
3851223,1.7437751736e+21
3851255,1.12765497085e+21
3851286,1.89932910795e+22
3851320,9.45365341512e+21
3851328,6.76772604181e+21
3851330,1.78850394711e+22
3851359,5.53644919451e+22
3851394,1.70021715947e+22
3851546,3.26165243942e+21
3851573,2.59973256166e+21
3851599,1.77460072308e+21
3851639,2.91029237712e+21
3851655,1.90175560433e+21
3851690,2.21826483147e+21
3851707,1.76604879496e+22
3851717,2.1150664887e+21
3851768,3.45650019985e+21
3851778,3.38419139095e+21
3851795,1.18624098358e+21
3851816,2.3671684297e+21
3851817,2.77826191006e+21
3851850,2.80697024477e+22
3851858,4.97598753739e+20
3851859,3.67893909829e+21
3851894,3.00341502487e+21
3851910,1.39169469819e+21
3851936,3.63830367849e+21
3851949,4.78915775423e+21
3851953,9.69220927953e+21
3851982,1.82037998731e+21
3851993,1.76074780626e+21
3851999,2.16754627374e+21
3852006,2.04182512525e+21
3852016,7.62244773147e+21
3852041,5.78650626592e+21
3852054,3.02046074412e+21
3852071,3.64917814822e+21
3852111,1.96481619362e+21
3852116,1.30934751496e+21
3852124,3.45133995607e+21
3852133,
3852171,2.27088776833e+21
3852175,5.73296969792e+21
3852202,1.75257612439e+21
3852240,2.75045759378e+21
3852301,3.55485058226e+21
3852317,6.3977836516e+21
3852392,1.65928254909e+21
3951879,1.14633553061e+22
3951893,6.30366532124e+21
3951900,1.77769808695e+21
3951905,2.14075852689e+22
3951918,2.61741298e+21
3951936,2.17279785943e+21
3951940,3.50344918342e+21
3951989,5.25122136349e+21
3952072,1.08933089674e+22
3952103,1.78357566448e+22
3952215,2.97724052491e+21
3952217,6.94968452202e+21
3952269,5.36813937766e+21
3952304,2.82597676213e+21
3952307,2.59674855808e+22
3952315,6.18414770397e+22
3952333,2.03976695362e+22
3952334,1.86876828182e+21
3952382,8.27478701177e+21
3952389,1.61480037136e+22
3952396,1.20421066018e+22
3952431,2.49601719212e+21
3952513,4.77577598565e+21
3952537,1.31333241186e+22
3952562,2.58789752748e+21
3952580,1.68135957805e+22
3952585,2.63679003561e+21
3952601,1.61944319129e+22
3952614,9.68804496228e+21
3952623,3.62712408125e+22
3952637,1.04720265388e+22
3952656,2.21769880779e+22
3952668,5.43793979104e+21
3952682,8.74812855421e+21
3952683,6.05913816692e+21
3952697,1.48168990963e+22
3952769,3.54446301111e+21
3952795,5.72721494151e+21
3952824,1.89333002075e+22
3952848,5.97714801139e+21
3952852,1.42052386738e+22
3952856,8.89096362201e+21
3952897,1.81780702925e+22
3952899,7.67407704017e+21
3952901,1.65923060459e+22
3952952,6.29945478265e+21
3952954,8.44672660817e+21
3952999,1.3741188399e+22
3953014,1.40748051345e+22
3953036,4.82991075264e+21
3953057,4.30264132321e+22
3953071,8.7214919259e+21
3953106,2.30499855071e+22
3953140,2.15423081237e+22
3953144,1.19433108265e+22
3953173,3.9984227221e+21
3953177,1.5289625094e+22
3953207,
3953212,3.58495918336e+22
3953227,3.96135451045e+21
3953243,1.52618726203e+22
3953250,1.66226533613e+22
3953290,3.59292888539e+21
3953292,4.64857798229e+22
3953314,3.61237511347e+21
3953330,5.73114241908e+22
3953442,5.2366579019e+21
3953515,1.1244906395e+22
3953603,1.51825338977e+22
3953695,2.2153478294e+21
3953701,3.12553789908e+21
3953725,2.93786841799e+21
3953776,1.74409204035e+22
3953866,1.17881064868e+22
3953921,1.58676452165e+22
3953923,8.71548890869e+20
3953970,7.0325999278e+21
3953981,1.33865843073e+22
3953986,2.08470102325e+21
3954000,2.69939775684e+22
3954029,1.70522691517e+22
3954112,2.02028102552e+22
3954118,1.4661127138e+22
3954136,2.79490468562e+22
3954151,1.26373718211e+22
3954196,5.15622826167e+21
3954211,1.02848559864e+22
3954222,6.32057552123e+21
3954235,2.04674820988e+22
3954265,7.10943503974e+20
3954275,1.28275052646e+22
3954277,4.48508028331e+21
3954286,6.95567690843e+21
3954308,2.31458078869e+21
3954327,4.06088215927e+21
3954334,
3954342,1.91902680854e+21
3954348,4.0500719099e+22
3954351,1.44119153301e+22
3954382,1.45561660642e+22
3954433,2.12159784708e+22
3954440,
3954463,2.65190257227e+22
