LC Filename,Quiescent Flux, Start Time, End Time, Peak Flux, Median Flux, Peak Flux Sigma Above Median
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153753528708634786_LC.csv,5.24963407866e-16,930427707.135,930427949.304,2.40937519691e-15,4.42324122439e-16,4.61834306415
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153753528708636745_LC.csv,1.09448871267e-15,926304999.681,926305157.829,3.05266944032e-15,1.09800545529e-15,4.83425727942
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153753528708636745_LC.csv,1.09448871267e-15,962112149.864,962112299.34,4.64112360079e-15,1.09800545529e-15,9.53509004714
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153753528708636818_LC.csv,4.93997425223e-16,926304340.17,926304439.058,2.32511014125e-15,4.84167175904e-16,4.26378995689
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153753528708636818_LC.csv,4.93997425223e-16,930427589.925,930427668.689,2.97555966033e-15,4.84167175904e-16,8.41461353495
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153753528708636864_LC.csv,4.16735929623e-16,926304338.531,926304439.732,3.94128222106e-15,4.14474875769e-16,6.26386288328
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153753528708636864_LC.csv,4.16735929623e-16,930427599.945,930427668.452,2.01682775013e-15,4.14474875769e-16,5.08722895452
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153753528710727687_LC.csv,4.19582232817e-16,995548552.784,995548662.024,3.6324549551e-15,4.26925460065e-16,9.70716082683
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080718861_LC.csv,4.47698111108e-16,995655716.66,995656022.756,7.93578045904e-15,4.54520066924e-16,14.4824196552
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080719073_LC.csv,4.4781213182e-16,993082721.495,993082912.385,6.42321760329e-15,4.56829362267e-16,12.803705474
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080719073_LC.csv,4.4781213182e-16,995655348.237,995655530.55,4.69786165537e-15,4.56829362267e-16,10.5665117332
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080719112_LC.csv,5.06664745919e-16,993082720.467,993082832.439,2.05370249529e-15,5.0947333756e-16,5.82438189011
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080719112_LC.csv,5.06664745919e-16,993082832.439,993082902.469,1.64261573713e-15,5.0947333756e-16,4.77935323254
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080719112_LC.csv,5.06664745919e-16,995655410.718,995655513.174,2.60175915855e-15,5.0947333756e-16,7.01068922904
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080719236_LC.csv,5.68691210869e-16,993082760.819,993082860.692,3.25755738968e-15,5.65747909029e-16,8.05404488235
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080719236_LC.csv,5.68691210869e-16,993083006.37,993083070.044,2.73602610918e-15,5.65747909029e-16,5.98870055905
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080719236_LC.csv,5.68691210869e-16,995655582.174,995655711.314,4.76237688183e-15,5.65747909029e-16,8.12430606513
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080719236_LC.csv,5.68691210869e-16,995655421.873,995655520.63,3.56544338025e-15,5.65747909029e-16,8.62101245998
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080719910_LC.csv,5.18846351476e-16,995655542.2,995655632.968,2.51381574808e-15,5.14585282686e-16,5.33501537659
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080721529_LC.csv,5.13260941697e-16,993082910.987,993083006.255,1.4063143166e-15,5.10686257671e-16,4.07790610119
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080721619_LC.csv,5.34992744928e-16,993082909.837,993083006.78,1.24384666543e-15,5.18129812355e-16,3.54896098062
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080721688_LC.csv,9.25169426442e-16,993082952.347,993083052.1,2.10343085179e-15,9.11318298789e-16,4.42643344934
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080721807_LC.csv,5.26525581781e-16,995655469.421,995655680.961,1.62505487327e-15,5.22459255299e-16,4.65154429248
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080721807_LC.csv,5.26525581781e-16,995655680.961,995655753.667,1.31764604944e-15,5.22459255299e-16,3.51892372463
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080722055_LC.csv,5.06506756679e-16,995655512.939,995655632.136,1.39062569154e-15,4.89041447026e-16,4.10039845019
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080722207_LC.csv,4.76971829629e-16,995655533.39,995655632.137,1.20400300779e-15,4.61960878038e-16,3.64615404914
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080722395_LC.csv,5.29523085428e-16,993082811.916,993082841.678,1.32138378372e-15,5.11021597653e-16,3.9268302053
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080725158_LC.csv,4.19656758028e-16,995656300.345,995656365.95,1.71185849887e-15,4.07634130796e-16,5.75203969948
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080725158_LC.csv,4.19656758028e-16,995656245.905,995656279.852,1.66753320658e-15,4.07634130796e-16,5.60328369045
