Kepler ID,RA (J2000),DEC (J2000), Apparent Magnitude, App Mag Uncertainty
2283229,286.069500,40.006009,18.868,0.040
2283255,286.078140,37.506614,17.765,0.027
2283334,286.104710,37.604280,15.559,0.018
2283353,286.109010,37.660006,16.247,0.020
2283362,286.110790,37.803774,17.811,0.026
2283435,286.136110,37.623914,19.267,0.063
2283496,286.155680,37.389904,12.798,0.018
2283519,286.163550,37.654271,14.354,0.018
2283532,286.167510,37.683175,18.471,0.034
2283540,286.169850,37.652501,13.390,0.017
2283541,286.169950,37.601892,12.790,0.017
2283543,286.170810,37.634668,15.140,0.018
2283544,286.171160,37.643478,15.822,0.019
2283560,286.174520,37.376685,17.988,0.032
2283589,286.185430,37.384938,18.818,0.044
2283682,286.213210,37.616773,16.071,0.019
2283749,286.232820,37.643395,17.745,0.026
2283853,286.268620,37.674213,15.699,0.019
2283892,286.279830,37.611526,16.432,0.020
2283930,286.294630,37.680110,15.626,0.018
2283989,286.313220,37.673018,15.806,0.019
2284012,286.316830,37.612614,13.735,0.018
2284079,286.337910,37.614504,11.876,0.018
2284116,286.350150,37.602939,19.229,0.055
2284211,286.377240,37.653815,13.240,0.018
2284278,286.398840,39.576546,18.304,0.036
2284312,286.411410,38.507953,17.895,0.038
2284330,286.416010,37.630623,12.525,0.018
2284341,286.419390,37.468346,17.268,0.027
2284504,286.469410,37.621719,15.504,0.019
2284644,286.514890,38.256193,19.588,0.082
2284663,286.521680,37.702386,15.332,0.019
2284676,286.529910,37.576208,18.673,0.049
2284679,286.530750,38.142074,19.690,0.094
2284683,286.531650,37.564710,17.602,0.030
2284810,286.572240,37.607731,15.378,0.032
2284829,286.578700,37.620062,19.425,0.079
2284852,286.584500,37.662625,15.523,0.019
2284882,286.592300,37.650850,19.584,0.085
2284887,286.592840,39.426780,19.896,0.120
2284936,286.610790,38.130810,16.991,0.023
2284957,286.619210,39.488806,15.170,0.021
2284964,286.622570,39.345675,18.158,0.036
2285032,286.646540,37.660651,12.167,0.018
2285040,286.650480,37.558696,18.161,0.044
2285129,286.677740,37.940253,19.449,0.062
2285130,286.678090,37.665051,13.007,0.018
2285151,286.686620,37.617001,19.457,0.084
2285212,286.707370,37.913037,19.506,0.064
2285217,286.710710,37.605370,13.250,0.018
2285325,286.744040,37.618356,13.987,0.018
2285548,286.818430,38.640317,17.248,0.024
2285551,286.819620,37.702492,18.406,0.047
3444426,291.647410,38.540444,14.992,0.019
3444518,291.670850,38.500576,10.570,0.018
3444527,291.672880,38.606158,18.585,0.049
3444565,291.684650,38.517609,18.028,0.040
3444569,291.684940,38.566083,15.845,0.020
3444571,291.685500,38.556664,18.441,0.044
3444649,291.705900,38.574042,15.586,0.027
3444658,291.708120,38.524744,13.955,0.018
3444665,291.709720,38.363262,18.793,0.065
3444670,291.711180,38.504697,13.992,0.018
3444699,291.719550,38.189400,17.570,0.028
3444753,291.737230,39.285752,19.191,0.078
3444851,291.762350,38.574421,15.126,0.019
3444884,291.770010,38.582331,12.865,0.018
3444911,291.777000,38.559492,14.002,0.018
3444945,291.784940,38.639228,15.960,0.020
3444953,291.786310,38.521782,19.688,0.113
3444978,291.791570,39.204916,16.294,0.021
3445019,291.799560,38.529498,17.332,0.029
3445024,291.799880,38.712476,18.433,0.051
3445041,291.804800,38.904437,,
3445064,291.810110,38.594000,16.285,0.021
3445068,291.811160,38.553868,15.428,0.019
3445089,291.816800,38.615746,16.172,0.021
3445101,291.819375,38.262991,19.351,0.073
3445129,291.824745,38.585139,14.270,0.013
3445151,291.829250,37.964621,19.421,0.069
3445192,291.838745,38.522978,14.177,0.013
3445218,291.848650,38.499762,18.200,0.032
3445235,291.851540,38.402750,14.376,0.019
3445266,291.857700,38.580042,12.393,0.019
3445406,291.893120,38.575478,17.872,0.026
3445415,291.894210,38.582396,15.738,0.020
3445419,291.895110,38.661935,16.733,0.023
3445447,291.901710,38.558155,15.542,0.022
3445468,291.905920,38.555867,19.234,0.054
3445508,291.915710,38.590805,12.942,0.018
3445589,291.935550,38.060272,18.415,0.039
3445613,291.940120,38.794247,19.886,0.094
3445812,291.983720,38.778478,17.288,0.023
3445843,291.992860,38.578719,14.871,0.018
3445913,292.005010,38.593172,15.941,0.019
3542566,290.856430,38.673931,13.176,0.024
3542588,290.861400,38.641188,13.731,0.018
3542669,290.886760,39.147383,19.498,0.079
3542684,290.890900,38.617792,14.086,0.018
3542700,290.894300,38.709635,16.245,0.020
3542746,290.908180,38.755074,18.514,0.035
3542748,290.908420,38.872137,19.229,0.058
3542788,290.922040,38.687042,13.834,0.018
3542870,290.944840,38.672571,13.885,0.018
3542895,290.953250,38.665219,12.890,0.018
3542915,290.957510,38.618009,15.823,0.019
3542928,290.961560,38.386058,18.910,0.051
3542945,290.964990,38.623011,15.711,0.018
3542949,290.966520,38.609795,15.751,0.019
3542951,290.968580,38.563059,12.356,0.017
3542952,290.969110,38.655307,15.738,0.019
3542957,290.971150,38.662161,15.754,0.019
3542994,290.982570,38.607725,16.087,0.019
3543004,290.985590,38.575533,17.827,0.027
