Kepler ID,RA (J2000),Dec (J2000),RA PM,Dec PM,Star/Gal ID,Teff,Log G,Metallicity,E(B-V),A_V,Radius,Parallax
1701554,286.1791200,37.2888750,-0.018,-0.002,0,,,,,,,
1701656,286.2062810,37.2499200,-0.005,-0.004,0,5672,5.081,-0.374,0.099,0.306,0.460,
1701672,286.2099900,37.2801300,-0.004,-0.004,0,5575,4.713,-0.075,0.120,0.372,0.727,
1701678,286.2112200,37.2533100,-0.001,-0.011,0,5709,4.888,-0.295,0.108,0.334,0.589,
1701692,286.2139800,37.2719400,0.002,-0.004,0,4962,4.441,-0.884,0.110,0.341,0.964,
1701763,286.2364500,37.2816300,-0.012,0.001,0,4622,3.038,-0.277,0.175,0.543,6.010,
1701801,286.2509400,37.2994900,-2.000e-4,-0.007,0,5671,4.493,0.117,0.150,0.464,0.964,
1849064,286.0915700,37.3912200,-0.008,-0.008,0,4889,4.785,-0.252,0.072,0.222,0.606,
1849130,286.1136800,37.3610600,0.000,0.000,0,5579,4.820,-0.308,0.125,0.388,0.635,
1849159,286.1235110,37.3418000,0.014,-0.005,0,5944,4.219,-0.487,0.048,0.148,1.371,
1849195,286.1385600,37.3701900,0.000,0.000,0,5084,4.840,-0.023,0.129,0.399,0.585,
1849235,286.1496210,37.3950510,-0.003,-0.004,0,,,,,,,
1849249,286.1556600,37.3898120,0.006,-9.000e-4,0,,,,,,,
1849321,286.1757000,37.3925800,0.001,-0.006,0,5762,4.581,-0.401,0.119,0.369,0.869,
1849326,286.1767100,37.3562900,0.002,-0.013,0,5417,4.559,-0.510,0.118,0.365,0.869,
1849341,286.1798100,37.3964900,2.000e-4,-0.015,0,4770,4.736,-0.807,0.069,0.214,0.628,
1849386,286.1929000,37.3081900,0.003,1.000e-4,0,6013,4.456,-0.222,0.136,0.421,1.024,
1849398,286.1980100,37.3872300,-0.009,-0.020,0,5704,4.490,-0.564,0.145,0.450,0.969,
1849403,286.2003000,37.3252200,-7.000e-4,0.001,0,4962,4.498,0.384,0.115,0.356,0.896,
1849415,286.2024920,37.3515100,-7.000e-4,0.005,0,,,,,,,
1849462,286.2159900,37.3610300,-0.003,-0.013,0,4789,3.677,-0.164,0.128,0.397,2.719,
1849474,286.2182700,37.3341100,0.014,-0.032,0,6088,4.419,-0.856,0.117,0.364,1.077,
1849500,286.2250900,37.3705100,0.002,-0.018,0,5949,4.559,-0.193,0.127,0.395,0.901,
1849547,286.2402900,37.3046300,0.001,-0.004,0,5397,4.478,0.029,0.123,0.382,0.961,
1849572,286.2468000,37.3389800,9.000e-4,-0.006,0,6089,4.530,-0.052,0.124,0.384,0.940,
1849587,286.2523400,37.3618100,-0.012,0.021,0,5362,4.594,-0.405,0.032,0.100,0.828,
1849624,286.2635810,37.3424000,-0.008,-0.010,0,5296,4.509,-0.498,0.086,0.265,0.915,
1849656,286.2709200,37.3074000,-0.002,1.000e-4,0,5688,4.403,-0.045,0.129,0.400,1.077,
1849664,286.2740400,37.3768000,-0.013,-0.014,0,5654,4.434,-0.914,0.134,0.414,1.035,
1849679,286.2803400,37.3293000,-0.001,-0.014,0,4768,3.240,-0.693,0.136,0.422,4.735,
1849689,286.2830700,37.3523400,-0.003,-1.000e-4,0,4710,4.402,-0.060,0.062,0.191,0.975,
1849698,286.2854400,37.3076600,0.003,0.004,0,5766,4.348,-0.015,0.136,0.421,1.158,
1849702,286.2859500,37.3870600,0.000,0.000,0,4960,4.752,-0.537,0.058,0.180,0.643,
1849734,286.2950100,37.3501100,0.006,-0.003,0,4950,4.174,-0.704,0.093,0.289,1.381,
1849785,286.3118590,37.3518200,-0.004,-0.005,0,5735,4.490,-0.203,0.126,0.390,0.971,
1849829,286.3246200,37.3522100,-7.000e-4,-0.010,0,4901,4.093,-0.474,0.131,0.406,1.541,
1849846,286.3309200,37.3956600,-0.004,-0.005,0,4833,4.249,-1.017,0.113,0.350,1.225,
1849885,286.3428710,37.3424600,0.015,4.000e-4,0,5506,4.334,-0.150,0.076,0.237,1.160,
1850100,286.4098310,37.3655600,-0.002,-0.017,0,6277,4.550,0.142,0.166,0.516,0.924,
1850194,286.4303100,37.3976100,-7.000e-4,-0.005,0,5740,4.424,-0.024,0.147,0.456,1.053,
1850285,286.4644700,37.3973280,0.000,0.000,0,,,,,,,
1995192,286.0528100,37.4261600,-0.003,-0.007,0,5603,4.626,-0.760,0.118,0.366,0.815,
1995195,286.0542600,37.4167300,-0.002,-0.006,0,6038,4.456,-0.048,0.112,0.348,1.026,
1995248,286.0677090,37.4875100,-0.013,-0.023,0,5930,4.338,-0.696,0.093,0.288,1.180,
1995315,286.0849310,37.4627400,0.014,0.002,0,4919,4.468,-0.116,0.105,0.325,0.924,
1995316,286.0857800,37.4766000,0.042,-0.013,0,4729,4.572,0.010,0.098,0.305,0.774,
1995323,286.0892000,37.4030400,0.004,-0.011,0,5883,4.531,-0.014,0.146,0.452,0.930,
1995340,286.0939500,37.4822800,-0.003,-0.011,0,5815,4.553,-0.489,0.117,0.363,0.902,
1995351,286.0969700,37.4550000,-0.009,0.001,0,5449,4.733,-0.924,0.051,0.158,0.700,
1995358,286.0984610,37.4846100,7.000e-4,0.001,0,4811,2.761,-0.582,0.167,0.518,8.312,
1995430,286.1180400,37.4844400,-7.000e-4,-0.015,0,5014,4.288,-1.288,0.118,0.366,1.187,
1995493,286.1420700,37.4425000,0.005,0.003,0,5356,4.807,-0.604,0.051,0.158,0.630,
1995522,286.1511680,37.4321980,0.002,-6.000e-4,0,,,,,,,
1995622,286.1842200,37.4824400,0.003,-0.003,0,5675,4.223,-0.748,0.108,0.334,1.349,
1995656,286.1952400,37.4070400,0.005,-0.003,0,5704,4.645,-0.068,0.146,0.452,0.800,
1995666,286.2004500,37.4732500,-0.004,-0.005,0,5155,4.366,-0.461,0.130,0.402,1.085,
1995668,286.2004910,37.4437700,0.002,-0.004,0,4708,3.617,-0.316,0.087,0.269,2.946,
1995712,286.2104700,37.4655900,6.000e-4,-0.028,0,5849,4.406,-0.504,0.143,0.443,1.082,
1995787,286.2294400,37.4376900,0.007,-0.007,0,5884,4.446,-0.576,0.121,0.375,1.031,
1995789,286.2300500,37.4983200,-0.005,-0.011,0,5524,4.621,-0.163,0.143,0.442,0.813,
1995807,286.2346200,37.4202700,-0.013,-0.016,0,5191,4.514,-0.650,0.121,0.375,0.901,
1995840,286.2428210,37.4948100,0.008,0.017,0,5284,4.652,-0.300,0.059,0.181,0.763,
1995845,286.2452100,37.4595400,-0.006,-0.013,0,5637,4.531,-0.510,0.121,0.375,0.919,
1995859,286.2502500,37.4823100,0.004,-0.007,0,4761,2.622,-0.675,0.122,0.378,9.717,
1996021,286.2987600,37.4786600,0.002,0.004,0,6098,4.502,-0.642,0.112,0.346,0.972,
1996047,286.3068900,37.4254900,0.004,-0.014,0,5574,4.475,-0.757,0.124,0.385,0.979,
1996078,286.3120700,37.4858700,1.000e-4,-0.006,0,4794,2.971,-0.281,0.163,0.507,6.538,
1996088,286.3175200,37.4501300,0.005,-0.007,0,5026,3.903,-0.418,0.100,0.311,2.023,
1996121,286.3272600,37.4369100,0.017,0.008,0,5406,4.415,-0.545,0.135,0.418,1.041,
1996162,286.3380110,37.4305900,0.011,-0.002,0,5421,4.648,-0.546,0.081,0.250,0.777,
1996181,286.3446300,37.4841100,0.000,0.000,0,5367,4.338,-0.166,0.127,0.394,1.143,
1996214,286.3513200,37.4151900,-0.003,-0.011,0,5160,4.457,0.127,0.116,0.360,0.966,
1996240,286.3565810,37.4646300,0.000,0.000,0,5650,4.478,-0.318,0.121,0.376,0.981,
1996260,286.3650090,37.4368620,0.004,-0.003,0,,,,,,,
1996273,286.3685300,37.4466200,0.000,0.000,0,4830,4.541,-0.244,0.098,0.304,0.824,
1996399,286.4083200,37.4267600,0.013,0.021,0,3802,4.489,-0.116,0.033,0.103,0.677,
1996405,286.4101500,37.4657700,0.007,0.011,0,5599,4.343,-0.064,0.103,0.321,1.155,
1996637,286.4740610,37.4417400,-0.006,-0.010,0,4982,4.381,-0.312,0.126,0.390,1.047,
1996668,286.4854800,37.4423100,-0.002,-0.004,0,4859,4.253,-0.157,0.091,0.283,1.222,
1996679,286.4907200,37.4899800,-0.014,-0.011,0,5914,4.334,-0.304,0.119,0.368,1.186,
1996716,286.5029100,37.4988800,0.000,-0.001,0,6115,4.381,-0.304,0.132,0.410,1.129,
1996719,286.5046200,37.4236900,-2.000e-4,-0.008,0,5900,4.444,-0.109,0.139,0.431,1.035,
1996721,286.5048200,37.4674200,-0.006,0.052,0,4836,4.285,-0.273,0.037,0.116,1.166,
1996728,286.5062400,37.4670600,0.000,0.000,0,3754,4.517,0.252,0.033,0.103,0.638,
1996760,286.5192900,37.4360600,0.003,-0.007,0,5788,4.655,-0.411,0.079,0.244,0.794,
1996773,286.5227100,37.4751800,0.003,0.002,0,4854,4.300,0.181,0.105,0.326,1.144,
1996818,286.5367500,37.4833600,0.000,0.000,0,4725,3.047,-0.875,0.173,0.537,5.963,
1996859,286.5473400,37.4771900,-0.006,-0.016,0,5187,4.466,-0.412,0.130,0.403,0.958,
1996936,286.5749790,37.4817100,-0.001,-0.005,0,4962,4.817,-0.604,0.077,0.237,0.591,
1997127,286.6279500,37.4980400,0.001,-0.007,0,5609,4.499,-0.520,0.144,0.448,0.953,
2140782,286.0516310,37.5267900,0.010,4.000e-4,0,4946,4.624,-1.033,0.104,0.321,0.756,
2140841,286.0680690,37.5556600,0.003,-0.017,0,5854,4.638,-0.199,0.125,0.388,0.814,
2140862,286.0753200,37.5876200,0.009,-4.000e-4,0,5473,4.671,-0.248,0.100,0.309,0.759,
2140897,286.0864310,37.5696800,-0.005,-0.017,0,5453,4.500,-0.199,0.122,0.379,0.939,
2140937,286.0989600,37.5205100,0.005,-0.012,0,5916,4.464,-0.152,0.137,0.426,1.011,
2140982,286.1180100,37.5601700,-0.001,-0.007,0,4688,2.556,-0.732,0.113,0.351,10.455,
2141150,286.1775500,37.5835000,0.010,0.017,0,4689,4.660,-0.205,0.079,0.246,0.681,
2141152,286.1781000,37.5542100,-0.004,0.008,0,5225,4.682,-0.687,0.121,0.375,0.729,
2141175,286.1923090,37.5285100,0.005,-0.005,0,5551,4.432,-0.521,0.117,0.361,1.031,
2141179,286.1943710,37.5724800,0.005,-0.001,0,4831,4.603,-0.975,0.076,0.236,0.758,
2141193,286.1986500,37.5978200,0.003,0.000,0,4980,4.398,-0.149,0.122,0.380,1.024,
2141255,286.2185210,37.5207500,3.000e-4,0.002,0,4830,3.318,-0.771,0.129,0.400,4.304,
2141318,286.2382100,37.5737500,9.000e-4,0.004,0,5607,4.559,-0.529,0.120,0.371,0.886,
2141339,286.2433610,37.5113500,7.000e-4,0.007,0,6059,4.478,-0.104,0.154,0.477,0.999,
2141401,286.2637610,37.5964900,0.004,-0.005,0,5722,4.561,-0.249,0.127,0.393,0.890,
2141436,286.2727800,37.5729200,0.004,-0.004,0,4767,3.236,-0.146,0.154,0.478,4.757,
2141466,286.2797400,37.5806600,4.000e-4,1.000e-4,0,5550,4.870,-0.302,0.108,0.335,0.595,
2141544,286.3003800,37.5017600,-0.012,-0.032,0,5917,4.245,-0.521,0.087,0.270,1.324,
2141652,286.3301510,37.5275700,9.000e-4,0.009,0,4860,3.346,-0.092,0.117,0.363,4.158,
2141655,286.3305410,37.5397900,0.007,-0.025,0,5528,4.539,0.009,0.125,0.389,0.901,
2141658,286.3327230,37.5954330,-0.009,-0.014,0,,,,,,,
2141736,286.3551300,37.5900100,0.000,0.000,0,5468,4.308,-0.288,0.108,0.333,1.195,
2141753,286.3597200,37.5591500,0.014,0.008,0,4679,4.692,-0.914,0.073,0.227,0.652,
2141783,286.3700100,37.5525200,-0.002,-0.004,0,5827,4.305,-0.305,0.115,0.357,1.223,
2141787,286.3737200,37.5600700,0.000,0.000,0,5463,4.420,-0.656,0.118,0.366,1.038,
2141812,286.3809000,37.5813500,-0.008,0.004,0,5528,4.137,-0.461,0.104,0.321,1.500,
2141852,286.3915400,37.5957100,0.001,-0.007,0,5657,4.474,-0.345,0.121,0.374,0.987,
2141865,286.3967700,37.5976500,-0.002,-0.008,0,5595,4.508,-0.137,0.121,0.375,0.942,
2141927,286.4220800,37.5941600,0.022,0.014,0,5446,4.590,-0.265,0.093,0.289,0.839,
2141928,286.4225900,37.5239700,-0.004,0.004,0,4636,2.465,-0.097,0.122,0.379,11.618,
2141932,286.4233500,37.5452900,0.014,0.007,0,4418,2.726,0.196,0.165,0.513,8.574,
2142026,286.4551310,37.5986900,-4.000e-4,-9.000e-4,0,5436,4.945,-0.476,0.065,0.202,0.533,
2142052,286.4629400,37.5501500,2.000e-4,-0.011,0,5446,4.533,-0.134,0.127,0.394,0.901,
2142070,286.4690100,37.5347200,0.003,-4.000e-4,0,5930,4.248,-0.721,0.122,0.380,1.320,
2142074,286.4707100,37.5802600,0.000,0.000,0,5096,4.459,-0.422,0.108,0.334,0.958,
2142080,286.4732600,37.5228300,-0.002,0.001,0,6062,4.322,-0.528,0.103,0.321,1.210,
2142091,286.4768810,37.5056000,9.000e-4,-0.011,0,4850,4.287,0.232,0.123,0.381,1.165,
2142095,286.4777100,37.5848100,0.001,-0.007,0,4757,2.845,-0.496,0.126,0.390,7.552,
2142183,286.5104100,37.5956300,0.009,0.007,0,4589,3.324,-0.503,0.145,0.450,4.253,
2142244,286.5302100,37.5804870,0.008,-0.009,0,,,,,,,
2142279,286.5417200,37.5903000,-0.003,-0.008,0,5210,4.114,-0.467,0.120,0.373,1.525,
2142405,286.5839600,37.5104800,0.004,0.003,0,4961,3.233,-0.730,0.143,0.442,4.789,
2142433,286.5917780,37.5858060,-0.002,0.008,0,,,,,,,
2142490,286.6135890,37.5881550,-0.021,-0.021,0,,,,,,,
2142501,286.6190180,37.5040450,0.013,0.023,0,,,,,,,
2142508,286.6208100,37.5478000,0.019,-0.002,0,4618,2.892,-0.019,0.180,0.558,7.134,
2142522,286.6257600,37.5373000,0.002,3.000e-4,0,6046,4.408,-0.280,0.086,0.267,1.089,
2142628,286.6626710,37.5450160,0.005,-0.004,0,,,,,,,
2142657,286.6737200,37.5846000,4.000e-4,-0.011,0,5135,3.582,-0.741,0.106,0.328,3.099,
2142663,286.6754100,37.5595900,0.003,-0.015,0,5136,4.809,-1.016,0.076,0.236,0.613,
2142669,286.6776690,37.5292800,6.000e-4,-0.012,0,5098,4.657,-0.381,0.099,0.307,0.742,
2142675,286.6806600,37.5560400,-0.005,-0.009,0,4883,3.039,-0.567,0.178,0.553,6.038,
2142730,286.6995300,37.5675000,0.000,0.000,0,5824,4.421,-0.196,0.140,0.433,1.061,
2142913,286.7547000,37.5773500,-0.002,-0.016,0,5666,4.423,-0.158,0.143,0.443,1.051,
2283229,286.0694810,37.6282300,-0.001,-0.012,0,5709,4.488,-0.195,0.154,0.478,0.972,
2283255,286.0780500,37.6355200,-0.007,-0.017,0,5544,4.887,-0.125,0.068,0.209,0.581,
2283334,286.1046900,37.6042000,2.000e-4,-0.004,0,6067,4.557,-0.170,0.151,0.467,0.908,
2283353,286.1090400,37.6599400,-0.004,-0.012,0,5162,4.797,0.035,0.111,0.343,0.624,
2283362,286.1107500,37.6118500,0.001,-0.009,0,5283,4.661,0.138,0.123,0.382,0.754,
2283435,286.1360400,37.6496600,-0.011,-0.008,0,4800,3.153,-1.144,0.124,0.384,5.260,
2283496,286.1555810,37.6670000,0.009,-0.005,0,5397,4.438,-0.170,0.133,0.414,1.010,
2283519,286.1635500,37.6542000,-4.000e-4,-0.006,0,5431,4.600,-0.435,0.085,0.263,0.828,
2283532,286.1674610,37.6725300,2.000e-4,-0.006,0,4594,3.210,-0.203,0.128,0.397,4.896,
2283540,286.1698260,37.6523570,0.006,0.019,0,,,,,,,
2283541,286.1699400,37.6018200,9.000e-4,-0.007,0,5295,4.407,-0.277,0.056,0.173,1.041,
2283543,286.1708210,37.6346300,0.003,-0.021,0,5446,4.556,-0.172,0.112,0.346,0.875,
2283544,286.1711400,37.6433600,-0.003,9.000e-4,0,5578,4.599,-0.344,0.136,0.421,0.841,
2283560,286.1744700,37.6487200,0.004,-9.000e-4,0,6246,4.611,-0.330,0.146,0.453,0.857,
2283589,286.1853600,37.6076400,-0.002,-0.016,0,5719,4.711,-0.445,0.089,0.277,0.737,
2283682,286.2129720,37.6408940,-0.008,-0.010,0,,,,,,,
2283749,286.2328390,37.6433700,-0.008,-0.018,0,3528,4.127,0.573,0.086,0.266,1.158,
2283853,286.2685800,37.6741000,1.000e-4,-0.003,0,6097,4.669,-0.035,0.147,0.455,0.792,
2283892,286.2798110,37.6114100,0.007,6.000e-4,0,4280,4.840,-0.827,0.056,0.175,0.480,
2283930,286.2946500,37.6800300,-0.007,-0.005,0,5803,4.895,-0.034,0.114,0.355,0.588,
2283989,286.3131500,37.6103900,-0.003,-0.005,0,5688,4.323,-0.272,0.100,0.309,1.189,
2284012,286.3168400,37.6125400,-0.005,-0.004,0,6077,4.195,0.193,0.125,0.388,1.422,
2284079,286.3379040,37.6144220,2.000e-4,-6.000e-4,0,,,,,,,
2284116,286.3501010,37.6857700,,,0,4301,4.651,-0.466,0.051,0.158,0.620,
2284211,286.3772300,37.6537300,1.000e-4,-5.000e-4,0,5642,3.979,-0.231,0.113,0.350,1.852,
2284278,286.3988270,37.6425240,-0.001,-0.003,0,,,,,,,
2284312,286.4113800,37.6482400,0.002,-0.032,0,4742,4.442,0.180,0.097,0.301,0.927,
2284330,286.4160200,37.6305600,-0.009,-0.005,0,4814,2.744,-0.237,0.157,0.486,8.474,
2284341,286.4192590,37.6482600,-0.001,-0.018,0,5313,4.451,-0.247,0.122,0.377,0.987,
2284504,286.4694300,37.6216300,0.002,-0.004,0,5423,4.479,-0.129,0.130,0.403,0.962,
2284644,286.5147900,37.6310200,7.000e-4,-0.010,0,5978,4.394,-0.324,0.125,0.388,1.104,
2284663,286.5209810,37.6418500,9.000e-4,0.003,0,5962,4.709,-0.312,0.123,0.380,0.748,
2284676,286.5298500,37.6358200,-0.003,-0.004,0,5210,4.867,-0.190,0.036,0.112,0.573,
2284679,286.5306900,37.6694400,-0.003,-4.000e-4,0,4765,4.314,-1.157,0.028,0.088,1.110,
2284683,286.5316100,37.6615200,-0.008,0.004,0,5446,4.514,-0.186,0.118,0.366,0.923,
2284810,286.5722300,37.6075900,0.003,0.012,0,5526,4.393,-0.144,0.135,0.420,1.080,
2284829,286.5779900,37.6590900,0.015,-0.002,0,5403,4.380,-0.279,0.127,0.394,1.086,
2284852,286.5845000,37.6625300,0.007,0.006,0,5835,4.439,-0.498,0.151,0.469,1.038,
2284882,286.5920100,37.6766900,3.000e-4,0.002,0,4638,4.585,-0.264,0.065,0.201,0.744,
2284887,286.5928400,37.6204100,0.005,-0.004,0,5711,4.400,-0.164,0.157,0.486,1.083,
2284936,286.6106700,37.6801100,0.004,0.011,0,5338,4.696,-0.588,0.073,0.227,0.725,
2284957,286.6191600,37.6262400,-0.010,-0.002,0,5723,4.374,-0.589,0.130,0.402,1.119,
2284964,286.6224900,37.6436500,0.004,-0.008,0,5735,4.468,-0.276,0.141,0.436,0.998,
2285032,286.6465310,37.6605800,0.004,-0.002,0,4531,2.277,-0.059,0.162,0.501,14.428,
2285040,286.6503900,37.6501900,0.004,0.008,0,5684,4.403,-0.358,0.142,0.440,1.078,
2285129,286.6776600,37.6101600,0.008,-0.012,0,5407,4.618,-0.120,0.142,0.439,0.807,
2285130,286.6780500,37.6649400,4.000e-4,0.006,0,5410,3.762,0.038,0.115,0.357,2.454,
2285151,286.6865510,37.6200000,0.005,-0.008,0,5975,4.078,-0.090,0.110,0.342,1.648,
2285212,286.7072600,37.6113700,7.000e-4,0.007,0,5776,4.371,-0.021,0.146,0.452,1.125,
2285217,286.7107400,37.6053050,-0.006,-0.013,0,,,,,,,
2285325,286.7440200,37.6182100,7.000e-4,0.006,0,6091,4.190,-0.145,0.136,0.421,1.432,
2285548,286.8183500,37.6518300,7.000e-4,-0.016,0,4591,3.841,0.211,0.102,0.316,2.167,
2285551,286.8195600,37.6686100,-0.003,-0.015,0,4706,2.906,-0.012,0.190,0.590,7.041,
3444426,291.6474200,38.5403900,0.000,0.000,0,6534,4.213,-0.599,0.205,0.637,1.417,
3444518,291.6708410,38.5005200,-7.000e-4,-0.001,0,7674,3.612,0.104,0.142,0.441,3.319,
3444527,291.6727500,38.5986200,0.004,0.008,0,6284,4.728,-0.044,0.182,0.564,0.743,
3444565,291.6845790,38.5241200,0.000,0.000,0,4952,4.340,-0.469,0.132,0.409,1.100,
3444569,291.6849000,38.5660100,0.000,0.006,0,6452,4.683,-0.286,0.185,0.573,0.791,
3444571,291.6855270,38.5372550,0.009,0.011,0,,,,,,,
3444649,291.7059300,38.5739600,0.002,0.014,0,6370,4.555,-0.304,0.182,0.564,0.923,
3444658,291.7081200,38.5246900,0.006,-0.023,0,6535,4.201,-0.116,0.164,0.507,1.438,
3444665,291.7097000,38.5551600,0.005,0.006,0,5086,4.706,-0.868,0.081,0.252,0.695,
3444670,291.7111500,38.5046200,0.010,0.008,0,6057,4.354,-0.473,0.128,0.396,1.163,
3444699,291.7194710,38.5256500,0.005,0.026,0,5047,4.665,-0.591,0.075,0.234,0.731,
3444753,291.7371800,38.5806000,-0.006,-0.024,0,6081,4.329,-0.317,0.108,0.335,1.202,
3444851,291.7623410,38.5743500,0.000,-0.003,0,6083,4.620,-0.009,0.145,0.449,0.841,
3444884,291.7700400,38.5822100,-0.004,0.011,0,5253,4.518,-0.983,0.052,0.160,0.902,
3444911,291.7770000,38.5594300,2.000e-4,-0.004,0,4820,3.191,-0.346,0.189,0.585,5.024,
3444945,291.7848600,38.5994100,2.000e-4,0.004,0,4798,2.966,0.148,0.218,0.677,6.581,
3444953,291.7863000,38.5395700,-0.016,-0.007,0,5295,4.454,0.114,0.111,0.345,0.981,
3444978,291.7914600,38.5766200,-0.004,-0.001,0,6065,4.588,0.118,0.174,0.539,0.874,
3445019,291.7994900,38.5183200,0.000,0.000,0,5867,4.467,-0.036,0.181,0.561,1.004,
3445024,291.7998000,38.5490900,0.007,0.004,0,5658,4.440,-0.273,0.165,0.511,1.028,
3445041,291.8047500,38.5341800,0.002,-0.009,0,5285,4.446,-0.164,0.154,0.476,0.990,
3445064,291.8100710,38.5939100,0.006,0.010,0,5479,4.604,-0.438,0.164,0.507,0.827,
3445068,291.8111400,38.5537900,-0.003,-0.002,0,5519,4.633,0.025,0.128,0.398,0.801,
3445089,291.8167800,38.5222800,-0.009,-0.002,0,5821,4.412,-0.321,0.154,0.479,1.073,
3445101,291.8192700,38.5377300,-0.009,-0.015,0,5703,4.594,-0.594,0.111,0.345,0.853,
3445129,291.8247200,38.5850300,0.001,0.015,0,5881,4.693,-0.306,0.099,0.307,0.760,
3445151,291.8291700,38.5954800,0.011,0.003,0,5818,4.445,-0.127,0.170,0.527,1.030,
3445192,291.8387400,38.5228900,0.006,0.002,0,6543,4.245,-0.202,0.167,0.519,1.361,
3445218,291.8479610,38.5124100,2.000e-4,0.002,0,5938,3.936,-0.345,0.108,0.334,1.977,
3445235,291.8514600,38.5703900,-0.016,-0.013,0,6058,4.461,-0.343,0.085,0.264,1.021,
3445266,291.8577200,38.5799770,0.002,-0.011,0,,,,,,,
3445406,291.8930810,38.5455500,-0.006,-0.006,0,6960,4.216,-0.345,0.152,0.471,1.439,
3445415,291.8942100,38.5823500,0.000,0.000,0,5323,4.794,-0.014,0.112,0.346,0.638,
3445419,291.8950500,38.5834500,-0.004,-0.004,0,5614,4.666,-0.510,0.124,0.385,0.776,
3445447,291.9017100,38.5581000,0.010,5.000e-4,0,6242,4.602,0.020,0.173,0.535,0.866,
3445468,291.9058700,38.5411200,0.006,0.010,0,6998,4.349,-0.230,0.170,0.526,1.220,
3445508,291.9157100,38.5907200,-0.003,-0.003,0,6986,4.085,-0.220,0.156,0.485,1.702,
3445589,291.9354500,38.5073700,-0.001,-0.005,0,5890,4.362,-0.056,0.173,0.535,1.144,
3445613,291.9400700,38.5774700,0.000,0.000,0,5048,4.671,0.143,0.091,0.283,0.725,
3445812,291.9836900,38.5954100,-0.005,0.011,0,5910,4.690,-0.467,0.135,0.418,0.764,
3445843,291.9928500,38.5786500,-4.000e-4,-0.005,0,5985,4.506,-0.668,0.146,0.452,0.963,
3445913,292.0050300,38.5931200,7.000e-4,-0.007,0,5802,4.703,-0.309,0.158,0.491,0.748,
3542566,290.8564010,38.6738900,-0.004,0.002,0,8121,3.884,-0.229,0.220,0.683,2.403,
3542588,290.8614300,38.6411300,0.019,0.003,0,6091,4.488,-0.056,0.107,0.333,0.988,
3542669,290.8866690,38.6886800,1.000e-4,0.008,0,5792,4.635,-0.016,0.147,0.457,0.813,
3542684,290.8909500,38.6178100,-0.014,-0.025,0,5714,4.432,0.040,0.110,0.340,1.041,
3542700,290.8942700,38.6098100,0.000,0.000,0,5844,4.692,-0.120,0.160,0.495,0.760,
3542746,290.9081100,38.6362000,0.001,0.003,0,5865,4.459,-0.023,0.156,0.483,1.014,
3542748,290.9083700,38.6837000,-0.002,0.009,0,5544,4.556,-0.166,0.149,0.462,0.883,
3542788,290.9220300,38.6869700,-0.001,0.002,0,5869,4.437,-0.033,0.107,0.331,1.043,
3542870,290.9448410,38.6724900,-0.001,0.005,0,5870,4.483,0.114,0.105,0.325,0.986,
3542895,290.9532410,38.6651600,-0.002,-0.002,0,4980,2.780,0.279,0.193,0.597,8.164,
3542915,290.9574800,38.6179500,0.006,-0.006,0,5641,4.568,0.050,0.155,0.481,0.878,
3542928,290.9614500,38.6734400,0.000,0.000,0,5580,4.541,0.320,0.093,0.288,0.904,
3542945,290.9649500,38.6229500,0.003,0.004,0,5291,4.430,0.310,0.146,0.451,1.012,
3542949,290.9665500,38.6097700,-0.004,-0.009,0,5802,4.366,-0.239,0.183,0.566,1.133,
3542951,290.9684600,38.6574400,-0.004,0.016,0,5675,4.666,-0.049,0.160,0.497,0.778,
3542952,290.9691000,38.6552100,0.003,0.006,0,5825,4.698,0.032,0.148,0.458,0.753,
3542957,290.9711400,38.6620900,0.004,-0.010,0,6586,4.692,0.043,0.183,0.566,0.785,
3542994,290.9825400,38.6076700,0.000,0.000,0,6254,4.700,0.084,0.182,0.564,0.767,
3543004,290.9855000,38.6719400,0.000,0.000,0,5963,4.476,-0.159,0.129,0.400,0.998,
3543019,290.9908700,38.6002500,-0.001,-0.001,0,5719,4.440,-0.086,0.157,0.488,1.031,
3543070,291.0037100,38.6568400,-0.001,-5.000e-4,0,6402,4.370,-0.062,0.120,0.371,1.158,
3543090,291.0091500,38.6198000,-0.015,-0.007,0,6168,4.694,-0.214,0.149,0.463,0.770,
3543109,291.0154200,38.6648600,-0.001,-0.012,0,6243,4.481,-0.089,0.186,0.576,1.004,
3543114,291.0161100,38.6428400,-0.005,-0.002,0,4927,3.174,0.159,0.203,0.630,5.140,
3543138,291.0234900,38.6346800,0.000,0.000,0,5715,4.629,-0.123,0.096,0.297,0.817,
3543178,291.0345410,38.6422700,0.027,-0.033,0,5703,4.825,-0.375,0.079,0.244,0.638,
3543181,291.0354800,38.6589300,-0.010,-0.003,0,5624,4.864,-0.047,0.133,0.411,0.604,
3543198,291.0383100,38.6201800,-0.007,-0.002,0,5731,4.851,-0.241,0.067,0.207,0.618,
3543254,291.0542100,38.6768700,0.000,0.000,0,5754,5.060,-0.398,0.095,0.295,0.475,
3543262,291.0563100,38.6330600,6.000e-4,0.012,0,6038,4.272,-0.298,0.081,0.251,1.287,
3543270,291.0576110,38.6453400,0.001,-0.001,0,5288,4.790,-0.488,0.102,0.315,0.639,
3543273,291.0583100,38.6009600,0.000,0.000,0,5996,4.738,0.009,0.167,0.517,0.723,
