Kepler ID,RA (J2000),Dec (J2000),RA PM,Dec PM,Star/Gal ID,Teff,Log G,Metallicity,E(B-V),A_V,Radius,Parallax
3952682,291.0550700,39.0613200,-0.017,-0.012,0,5973,4.703,0.297,0.058,0.181,0.754,
3952683,291.0552600,39.0721000,-0.009,0.003,0,5883,4.681,-0.003,0.084,0.260,0.771,
3952697,291.0611790,39.0497600,0.000,0.000,0,6167,4.856,0.319,0.097,0.301,0.629,
3952769,291.0822600,39.0918400,0.000,0.000,0,5382,4.789,0.216,0.118,0.366,0.647,
3952795,291.0904100,39.0570000,0.000,-0.029,0,4965,4.483,-0.402,0.040,0.125,0.914,
3952824,291.0977810,39.0583900,-0.006,-0.009,0,5737,4.352,-0.217,0.135,0.420,1.150,
3952848,291.1019600,39.0341900,-0.024,-0.033,0,6083,4.195,-0.320,0.073,0.226,1.422,
3952852,291.1036100,39.0541900,0.002,0.014,0,5564,4.526,-0.115,0.128,0.397,0.919,
3952856,291.1047900,39.0789900,-0.006,-0.005,0,5160,4.803,-0.028,0.111,0.343,0.619,
3952897,291.1177100,39.0629400,6.000e-4,0.011,0,5940,4.592,-0.182,0.137,0.425,0.865,
3952899,291.1187100,39.0787700,0.002,0.004,0,6015,4.050,-1.528,0.155,0.482,1.710,
3952901,291.1192800,39.0555500,0.005,-0.003,0,5763,4.434,-0.461,0.160,0.495,1.041,
3952952,291.1339610,39.0122400,-6.000e-4,0.003,0,5618,4.848,-0.429,0.095,0.295,0.616,
3952954,291.1341600,39.0633900,7.000e-4,-6.000e-4,0,5116,4.525,-0.051,0.128,0.396,0.882,
3952999,291.1485900,39.0775000,-0.027,-0.022,0,5092,3.830,-0.098,0.123,0.383,2.233,
3953014,291.1527200,39.0315300,0.003,0.008,0,5574,4.516,0.165,0.126,0.390,0.931,
3953036,291.1579600,39.0841400,-0.015,-0.010,0,4535,4.349,-1.850,0.052,0.163,1.021,
3953057,291.1645400,39.0449200,0.003,-0.008,0,4212,3.149,0.371,0.047,0.147,5.236,
3953071,291.1680500,39.0528000,-0.037,-0.008,0,5747,4.415,-0.154,0.167,0.519,1.065,
3953106,291.1797600,39.0996500,0.001,0.003,0,5398,4.103,-0.330,0.133,0.414,1.559,
3953140,291.1908600,39.0122400,-0.002,0.006,0,5908,4.357,-0.284,0.115,0.357,1.152,
3953144,291.1925100,39.0494900,-0.002,-0.003,0,7950,4.074,-0.128,0.242,0.749,1.846,
3953173,291.2000700,39.0539800,-0.016,-0.046,0,4547,4.700,-1.127,0.065,0.203,0.625,
3953177,291.2011910,39.0106600,-0.001,-1.000e-4,0,5745,4.797,-0.430,0.096,0.297,0.662,
3953207,291.2107200,39.0942100,0.000,0.000,0,4683,3.252,-0.024,0.184,0.570,4.658,
3953212,291.2116800,39.0931900,0.000,0.000,0,5825,4.310,-0.370,0.111,0.343,1.216,
3953227,291.2149200,39.0969300,-0.005,-0.005,0,5715,4.422,-0.141,0.151,0.469,1.055,
