Filename, Kepler ID, Start Time, End Time, Estimated Bolometric Energy (erg)
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,926102664.602,926102694.799,8.89004226435e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,926103352.5,926103413.958,1.298700147e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,926103233.719,926103293.963,1.59285023621e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,926103502.58,926103563.342,1.15974829111e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,926103007.502,926103074.531,1.01904496208e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,926103122.68,926103193.564,1.06168244084e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,926102763.489,926102815.359,1.00743641365e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930268035.345,930268094.076,3.36332359516e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930267912.598,930268003.931,3.35845147992e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930268134.562,930268222.827,3.15299372579e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930267775.401,930267842.984,3.87694656831e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930268282.647,930268334.075,2.68081689342e+35
