galex_id,ra,dec,min_cnt,max_cnt,ave_cnt,lc_filename
3190204538192661463,292.848401193,40.8491043775,14.0,154.0,117.180815877,
3190204538192661466,292.910046634,40.8728384099,4.0,55.0,33.8500551268,
3190204538192661472,292.524380442,40.8830716572,3.0,39.0,22.8478500551,
3190204538192661473,292.480183691,40.8822445757,1.0,31.0,14.5286975717,
3190204538192661479,293.029124464,40.88008632,4.0,58.0,34.9702315325,
3190204538192661489,292.431977074,40.8837776371,2.0,31.0,16.2174392936,
3190204538192661500,292.127981674,40.8834504686,1.0,30.0,15.6615214994,
3190204538192661522,292.166116166,40.8796899405,6.0,68.0,41.1245865491,
3190204538192661527,292.793740433,40.8908333674,1.0,36.0,19.6957001103,
3190204538192661528,292.447268288,40.8907730736,1.0,25.0,12.5701657459,
3190204538192661529,292.307589017,40.8959023613,1.0,23.0,11.6876379691,
3190204538192661530,292.356797883,40.8924512247,1.0,35.0,19.1885336273,
3190204538192661540,292.120320035,40.8955591539,1.0,30.0,12.993384785,
3190204538192661548,292.988384991,40.8906157205,2.0,32.0,16.9007717751,
3190204538192661557,292.13333746,40.8883189811,6.0,68.0,44.9581036384,
3190204538192661575,292.913170311,40.898102045,3.0,31.0,15.1003307607,
3190204538192661589,292.617777553,40.900192218,1.0,30.0,14.651598677,
3190204538192661597,292.944202958,40.8945951295,2.0,28.0,16.0286975717,
3190204538192661598,292.895523762,40.8989756661,1.0,34.0,15.7640573319,
3190204538192661624,292.045901772,40.901540339,1.0,29.0,13.0960264901,
3190204538192661646,292.220652848,40.8857124933,10.0,85.0,59.4399117971,
3190204538192661655,292.977549677,40.9013752551,2.0,48.0,28.0661521499,
3190204538192661667,292.634780548,40.8981721168,1.0,37.0,15.5115766262,
3190204538192661668,292.087541397,40.8999609538,2.0,42.0,23.3737596472,
3190204538192661671,292.153418516,40.9053284537,2.0,30.0,16.5292171996,
3190204538192661673,292.272846326,40.9040632983,1.0,27.0,15.6846747519,
3190204538192661675,292.355306509,40.9068035937,1.0,29.0,15.2127894157,
3190204538192661701,292.962373256,40.9104862194,2.0,28.0,16.1591160221,
3190204538192661708,292.580940217,40.9074307639,2.0,31.0,15.8456449835,
3190204538192661711,292.979545356,40.9083562538,2.0,33.0,18.6130099228,
3190204538192661714,292.182487065,40.9105286466,2.0,28.0,13.4785005513,
3190204538192661725,292.383784983,40.9154495251,1.0,25.0,12.3355408389,
3190204538192661729,292.070532114,40.9047139426,1.0,28.0,15.5556780595,
3190204538192661731,292.472635667,40.9117507952,1.0,28.0,13.770419426,
3190204538192661770,292.188425356,40.8964841852,3.0,39.0,20.1664829107,
3190204538192661771,292.753208101,40.9125991368,1.0,38.0,18.6416758545,
3190204538192661772,292.211732409,40.9129862294,2.0,29.0,14.6527012128,
3190204538192661775,292.974589332,40.9090540477,1.0,39.0,20.9845644983,
3190204538192661779,291.888842359,40.9144873185,3.0,28.0,13.9984326019,
3190204538192661791,292.467620044,40.9180320055,1.0,29.0,13.7949283352,
3190204538192661818,293.152930759,40.9242187794,1.0,34.0,15.0540838852,
3190204538192661824,292.926617299,40.8983636154,4.0,61.0,33.9095920617,
3190204538192661826,292.367481272,40.8711677174,17.0,192.0,147.865490628,
3190204538192661828,292.86157934,40.9007442666,4.0,70.0,43.2116868798,
3190204538192661834,292.170417628,40.907257682,2.0,33.0,18.019845645,
3190204538192661838,292.372054252,40.9172024189,1.0,27.0,13.96030871,
3190204538192661844,292.12108741,40.903891961,1.0,43.0,24.7651598677,
3190204538192661852,292.34184447,40.9178978205,2.0,31.0,15.197353914,
